Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
West Virginia,US,2020-03-18T12:13:144,1,0,0,38.4912,-80.9545
Cayman Islands,United Kingdom,2020-03-18T12:13:144,1,1,0,19.3133,-81.2546
Montserrat,United Kingdom,2020-03-18T12:13:145,1,0,0,16.7425,-62.1874
From Diamond Princess,Australia,2020-03-18T12:13:145,0,0,0,35.4437,139.6380
French Guiana,France,2020-03-18T12:13:146,0,0,0,4.0000,-53.0000
Guadeloupe,France,2020-03-18T12:13:146,0,0,0,16.2500,-61.5833
Mayotte,France,2020-03-18T12:13:147,0,0,0,-12.8431,45.1383
Reunion,France,2020-03-18T12:13:147,0,0,0,-21.1351,55.2471
,Guam,2020-03-18T12:13:148,0,0,0,13.4443,144.7937
,Guernsey,2020-03-18T12:13:148,0,0,0,49.4500,-2.5800
,Jersey,2020-03-18T12:13:149,0,0,0,49.1900,-2.1100
,Puerto Rico,2020-03-18T12:13:149,0,0,0,18.2000,-66.5000
,Republic of the Congo,2020-03-18T12:13:150,0,0,0,-1.4400,15.5560
,The Gambia,2020-03-18T12:13:150,0,0,0,13.4667,-16.6000
